case_number,date_of_occurrence,primary_description,latitude,longitude
JD397541,10/31/2020 09:14:00 AM,HOMICIDE,41.79005429,-87.655982593
JD450976,12/06/2020 03:33:00 AM,HOMICIDE,41.890842763,-87.675798158
JD451631,12/06/2020 09:25:00 PM,HOMICIDE,41.888658818,-87.748967416
JD451449,12/06/2020 05:11:00 PM,HOMICIDE,41.939638219,-87.754882886
JE161082,03/06/2021 03:30:00 PM,HOMICIDE,41.786184976,-87.648598206
JE190772,04/06/2021 01:55:00 AM,HOMICIDE,41.703073446,-87.602673084
JD303275,07/19/2020 11:32:00 PM,HOMICIDE,41.745285231,-87.605067562
JE136346,02/08/2021 07:44:00 PM,HOMICIDE,41.761833522,-87.58966934
JE136378,02/08/2021 08:30:00 PM,HOMICIDE,41.781534778,-87.605955453000007
JD452091,12/07/2020 12:33:00 PM,HOMICIDE,41.699769093,-87.631708344
JE118685,02/08/2021 12:06:00 PM,HOMICIDE,41.775729869,-87.672132329
JE109540,01/11/2021 12:12:00 PM,HOMICIDE,41.820550251,-87.699524119
JE124799,01/27/2021 03:56:00 PM,HOMICIDE,41.830530933,-87.610277459
JD452203,12/07/2020 03:01:00 PM,HOMICIDE,41.711973932,-87.626023283
JE148087,02/21/2021 05:38:00 PM,HOMICIDE,41.83900622,-87.707668681
JE224429,05/09/2021 09:48:00 AM,HOMICIDE,41.791458525,-87.647515317
JE136516,02/09/2021 07:59:00 AM,HOMICIDE,41.894346275,-87.712619863
JD340988,08/22/2020 06:47:00 AM,HOMICIDE,41.882653425,-87.771874513
JE110271,01/12/2021 01:49:00 AM,HOMICIDE,41.750215226,-87.633075911
JD416956,10/31/2020 10:14:00 PM,HOMICIDE,41.893682861,-87.710720066
JD301394,07/18/2020 07:22:00 AM,HOMICIDE,41.89182683,-87.713084988
JE173701,03/19/2021 07:26:00 PM,HOMICIDE,41.884249627,-87.704443837
JE156497,03/02/2021 03:51:00 AM,HOMICIDE,41.767191574,-87.572664894
JE162150,03/07/2021 07:55:00 PM,HOMICIDE,41.744209898,-87.58506148
JE143284,02/16/2021 06:42:00 PM,HOMICIDE,41.838026577,-87.647590804
JE207141,04/22/2021 08:39:00 PM,HOMICIDE,41.850824328,-87.690511777
JE138253,02/10/2021 07:22:00 PM,HOMICIDE,41.823814476,-87.618409866
JE111602,01/13/2021 01:50:00 PM,HOMICIDE,41.677371729,-87.622635597
JE120147,01/22/2021 02:48:00 PM,HOMICIDE,41.875817435,-87.725503785
JD382767,09/29/2020 03:09:00 AM,HOMICIDE,41.772363591,-87.585053288
JE107997,01/09/2021 02:44:00 PM,HOMICIDE,41.805211965,-87.585789862
JE191820,04/07/2021 12:22:00 AM,HOMICIDE,41.750609338,-87.612490693
JE125583,01/28/2021 12:46:00 PM,HOMICIDE,41.856105476,-87.627164726
JE192822,04/07/2021 10:10:00 PM,HOMICIDE,41.671168666,-87.657526862
JE163081,03/08/2021 06:17:00 PM,HOMICIDE,41.678038746,-87.621771684
JD457651,12/13/2020 12:42:00 AM,HOMICIDE,41.810416202,-87.624490191
JD368303,09/15/2020 06:58:00 PM,HOMICIDE,42.007913834,-87.665847907
JE112825,01/14/2021 05:48:00 PM,HOMICIDE,41.909591067,-87.748805933
JE163081,03/08/2021 06:25:00 PM,HOMICIDE,41.678038746,-87.621771684
JE112541,01/14/2021 01:36:00 PM,HOMICIDE,41.906827741,-87.755880834
JE149236,02/22/2021 09:20:00 PM,HOMICIDE,41.759444161,-87.596627814
JE162908,03/08/2021 03:32:00 PM,HOMICIDE,41.78855456,-87.623931704
JE126873,01/29/2021 05:21:00 PM,HOMICIDE,41.874808105,-87.75811153
JE174425,03/20/2021 07:17:00 PM,HOMICIDE,41.831959155,-87.620568542
JD400319,10/15/2020 02:39:00 PM,HOMICIDE,41.826099916,-87.684907104
JE136065,02/10/2021 04:35:00 PM,HOMICIDE,41.729559728,-87.651943841
JE113828,01/15/2021 09:52:00 PM,HOMICIDE,41.731323576,-87.653207461
JE126034,01/28/2021 08:36:00 PM,HOMICIDE,41.879873468,-87.684870498
JE168409,03/14/2021 01:25:00 AM,HOMICIDE,41.750548727,-87.593031862
JE113759,01/15/2021 05:10:00 PM,HOMICIDE,41.773396353,-87.649482106
JE208283,04/23/2021 10:48:00 PM,HOMICIDE,41.783327093,-87.64887794
JE151419,02/24/2021 10:30:00 PM,HOMICIDE,41.801150088,-87.619384368
JE127233,01/30/2021 07:35:00 AM,HOMICIDE,41.76571128,-87.67418895
JE193004,04/08/2021 02:28:00 AM,HOMICIDE,41.88096768,-87.737940272
JE140202,02/12/2021 08:40:00 PM,HOMICIDE,41.880399914,-87.753008553
JE115878,01/17/2021 11:35:00 PM,HOMICIDE,41.894581495,-87.721164479
JE115131,01/17/2021 08:36:00 AM,HOMICIDE,41.777558327,-87.615558249
JE115702,01/17/2021 06:48:00 PM,HOMICIDE,41.92385284,-87.774151816
JE125131,01/30/2021 10:23:00 AM,HOMICIDE,41.743157477,-87.636787562
JD317103,08/01/2020 07:54:00 AM,HOMICIDE,41.754920763,-87.565080452
JE207921,04/23/2021 03:38:00 PM,HOMICIDE,41.705677782,-87.600944364
JE141079,02/13/2021 08:53:00 PM,HOMICIDE,41.755335821,-87.658715338
JE128575,01/31/2021 06:21:00 PM,HOMICIDE,41.764319754,-87.645601453
JE174979,03/21/2021 07:25:00 AM,HOMICIDE,41.910643177,-87.66688431
JE128482,01/31/2021 03:51:00 PM,HOMICIDE,41.80829274,-87.622811656
